expedition_duration_days,personnel_count,cargo_weight_kg,medical_supply_level,food_supply_level,fuel_supply_level,equipment_availability,temperature,wind_speed,visibility,distance_from_base_km,communication_status,vehicle_status,emergency_history,inventory_shortage_count,personnel_movement_deviation,previous_incidents,weather_risk_score,risk_score_continuous,risk_level
15,23,2064.8,82.9,1.9,45.5,50.2,-2.6,36.6,10.41,829.2,34.8,84.1,0,1,18.55,0,26.7,0.5632,HIGH
94,13,2887.7,59.4,45.5,11.9,73.2,-40.2,5.2,7.14,307.4,10.3,17.2,1,3,5.0,0,47.1,0.5777,HIGH
80,12,1207.1,24.5,61.8,56.9,18.8,-25.7,17.1,1.59,566.5,30.2,13.1,1,2,16.77,0,47.7,0.569,HIGH
55,15,1361.5,74.6,46.0,15.6,44.4,-53.2,61.7,19.82,232.1,80.7,72.9,0,1,12.08,1,60.5,0.411,LOW
55,26,2464.6,8.4,13.1,6.1,53.3,-54.5,77.5,3.58,127.5,49.3,44.6,1,1,5.29,0,87.3,0.6462,HIGH
104,12,1591.4,77.4,39.7,49.9,73.6,-12.7,75.6,5.18,663.6,17.2,79.4,1,1,10.99,2,54.2,0.5185,HIGH
14,37,2249.2,59.0,41.2,65.5,96.4,-47.9,58.4,4.79,134.1,31.3,28.3,1,0,10.67,1,74.3,0.4843,MEDIUM
85,21,1460.2,11.1,18.8,85.4,84.8,-22.1,8.5,18.17,782.0,95.4,21.3,0,0,5.49,0,21.3,0.3692,LOW
28,35,764.2,8.0,75.6,78.3,62.2,-13.2,1.7,15.3,271.8,43.2,54.9,0,0,16.0,0,16.1,0.3958,LOW
15,29,2273.8,75.1,32.1,85.7,58.4,-53.1,78.2,9.2,818.5,44.2,11.5,0,2,19.81,1,79.5,0.5686,HIGH
66,16,523.8,29.3,58.9,76.0,60.3,-28.1,54.9,19.11,368.5,15.3,27.9,1,1,8.21,0,40.8,0.4616,MEDIUM
118,12,716.0,88.9,51.6,70.3,54.5,-14.0,78.3,1.15,368.8,30.5,16.6,1,2,3.85,1,61.1,0.5113,HIGH
90,31,1936.5,76.2,87.7,1.0,5.9,-1.6,16.3,17.88,750.6,81.5,32.0,0,0,20.47,0,9.5,0.4891,MEDIUM
93,16,2279.7,69.8,12.2,62.6,69.8,-37.0,40.7,1.3,510.3,78.6,76.5,0,2,2.45,0,64.5,0.4878,MEDIUM
88,13,2699.9,27.9,11.4,12.0,71.6,3.5,91.9,7.88,201.0,43.5,12.1,0,0,12.87,2,47.3,0.374,LOW
96,38,926.9,70.9,30.0,5.9,51.2,-4.3,17.2,1.17,850.4,89.4,61.2,0,4,5.0,0,32.7,0.5273,HIGH
